file,category,poc_name,cve_id,protocol,grade,attack_input,execution_path,observable_result,safety_gate,is_recon,missing
pocs/wireless/37_CVE_2026_2541_Active_Validation.py,wireless,CVE-2026-2541 熵不足 Active Validation,CVE-2026-2541,rf,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/wireless/38_CVE_2026_49318_Active_Validation.py,wireless,CVE-2026-49318 协议状态机缺陷 Active Validation,CVE-2026-49318,rf,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/wireless/39_CVE_2026_49319_Active_Validation.py,wireless,CVE-2026-49319 重放攻击 Active Validation,CVE-2026-49319,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/wireless/40_CVE_2026_49322_Active_Validation.py,wireless,CVE-2026-49322 弱加密/重放 Active Validation,CVE-2026-49322,rf,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/wireless/41_CVE_2026_49324_Active_Validation.py,wireless,CVE-2026-49324 认证节流不足 Active Validation,CVE-2026-49324,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/wireless/42_CVE_2025_5475_Active_Validation.py,wireless,CVE-2025-5475 Bluetooth整数溢出/RCE Active Validation,CVE-2025-5475,bluetooth,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/wireless/43_CVE_2025_5476_Active_Validation.py,wireless,CVE-2025-5476 Bluetooth认证绕过 Active Validation,CVE-2025-5476,bluetooth,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/wireless/44_CVE_2025_5477_Active_Validation.py,wireless,CVE-2025-5477 Bluetooth L2CAP堆溢出/RCE Active Validation,CVE-2025-5477,bluetooth,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/wireless/45_CVE_2025_5478_Active_Validation.py,wireless,CVE-2025-5478 Bluetooth SDP整数溢出/RCE Active Validation,CVE-2025-5478,bluetooth,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/wireless/46_CVE_2025_5479_Active_Validation.py,wireless,CVE-2025-5479 Bluetooth AVCTP堆溢出/RCE Active Validation,CVE-2025-5479,bluetooth,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/wireless/47_CVE_2025_5820_Active_Validation.py,wireless,CVE-2025-5820 Bluetooth ERTM认证绕过 Active Validation,CVE-2025-5820,bluetooth,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/wireless/48_CVE_2024_6348_Active_Validation.py,wireless,CVE-2024-6348 随机数不足 Active Validation,CVE-2024-6348,rf,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/wireless/49_CVE_2023_29114_Active_Validation.py,wireless,CVE-2023-29114 访问控制不足/敏感信息泄露 Active Validation,CVE-2023-29114,wifi,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/wireless/51_CVE_2017_0785_Active_Validation.py,wireless,CVE-2017-0785 BlueBorne信息泄露 Active Validation,CVE-2017-0785,bluetooth,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/wireless/53_CVE_2017_0782_Active_Validation.py,wireless,CVE-2017-0782 BlueBorne RCE Active Validation,CVE-2017-0782,bluetooth,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/wireless/54_CVE_2017_1000251_Active_Validation.py,wireless,CVE-2017-1000251 BlueBorne内核RCE Active Validation,CVE-2017-1000251,bluetooth,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/wireless/56_CVE_2017_13078_Active_Validation.py,wireless,CVE-2017-13078 KRACK密钥重装 Active Validation,CVE-2017-13078,can,PAYLOAD_NOT_EXECUTED,True,False,False,False,False,"execution_path,observable_result,safety_gate"
pocs/wireless/57_CVE_2017_13079_Active_Validation.py,wireless,CVE-2017-13079 KRACK密钥重装 Active Validation,CVE-2017-13079,can,PAYLOAD_NOT_EXECUTED,True,False,False,False,False,"execution_path,observable_result,safety_gate"
pocs/wireless/58_CVE_2017_13080_Active_Validation.py,wireless,CVE-2017-13080 KRACK密钥重装 Active Validation,CVE-2017-13080,can,PAYLOAD_NOT_EXECUTED,True,False,False,False,False,"execution_path,observable_result,safety_gate"
pocs/wireless/59_CVE_2017_13081_Active_Validation.py,wireless,CVE-2017-13081 KRACK密钥重装 Active Validation,CVE-2017-13081,can,PAYLOAD_NOT_EXECUTED,True,False,False,False,False,"execution_path,observable_result,safety_gate"
pocs/wireless/62_CVE_2020_10135_Active_Validation.py,wireless,CVE-2020-10135 认证绕过 Active Validation,CVE-2020-10135,bluetooth,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/wireless/63_CVE_2020_26555_Active_Validation.py,wireless,CVE-2020-26555 认证绕过 Active Validation,CVE-2020-26555,bluetooth,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/wireless/64_CVE_2020_26558_Active_Validation.py,wireless,CVE-2020-26558 配对绕过/中间人 Active Validation,CVE-2020-26558,bluetooth,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/wireless/67_CVE_2024_23206_Active_Validation.py,wireless,CVE-2024-23206 RCE/网络邻近攻击 Active Validation,CVE-2024-23206,wifi,PAYLOAD_NOT_EXECUTED,True,False,False,False,False,"execution_path,observable_result,safety_gate"
