序号,系统时间,时间标识,通道,收/发,ID,Frame,类型,DLC,CAN-FD,数据
11458,33:07.4,200.9663,1,Tx,0x1DE,标准帧,数据帧,8,CANFD-加速,x| 00 00 00 10 00 00 00 00 
11459,33:07.4,200.9973,1,Tx,0x4E6,标准帧,数据帧,8,CANFD-加速,x| 09 80 00 00 00 00 00 00 
,,,1,Tx,0x1DE,标准帧,数据帧,8,CANFD-加速,x| 70 00 00 00 00 00 00 00
,,,1,Tx,0x4E6,标准帧,数据帧,8,CANFD-加速,x| 09 80 00 00 00 00 00 00 
,,,1,Tx,0x1DE,标准帧,数据帧,8,CANFD-加速,x| 00 00 10 00 00 00 00 00
,,,1,Tx,0x4E6,标准帧,数据帧,8,CANFD-加速,x| 09 80 00 00 00 00 00 00 
